Name,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),Other skills,"Are you available for 3 months, starting immediately, for a full-time work from home internship? ",Degree,Stream,Current Year Of Graduation,Performance_PG,Performance_UG,Performance_12,Performance_10
,2,2,2,3,"Deep Learning, HTML, CSS, Computer Vision, Django, JavaScript, Machine Learning, Natural Language Processing (NLP), Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,N/A,N/A,N/A
,2,3,2,2,"Algorithms, Amazon Web Services (AWS), C++ Programming, Hindi Proficiency (Spoken), Machine Learning, Cloud Computing, Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Flask, Natural Language Processing (NLP), Neural Networks, Python, Tableau, DevOps, Java","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science With Specialization In Data Science,2024,N/A,8.80/10,91.50/91.50,9.40/9.40
,2,2,0,1,"Data Analytics, Data Science, Django, Flask, Machine Learning, Python, R Programming, ReactJS, Deep Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2024,N/A,N/A,N/A,N/A
,2,2,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Post Graduate Programme (PGP),Data Science And Statistics,2023,N/A,N/A,N/A,N/A
,2,2,0,0,"Mathematics, Statistics, MS-Excel, Machine Learning, Power BI, Python, R Programming, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Science (M.Sc),Data Analytics,2023,N/A,N/A,90.00/90.00,96.00/96.00
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",,,0,N/A,N/A,9.20/9.20,N/A
,2,2,0,1,"Django, HTML, Machine Learning, Python, REST API, Algorithms, Artificial Intelligence, C++ Programming, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, GitHub, Microsoft Azure, MongoDB, NoSQL, OpenCV, Power BI, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Computer Applications (BCA),Artificial Intelligence & Internet Of Things,2023,N/A,9.46/10,86.60/86.60,80.00/80.00
,2,3,0,0,"Machine Learning, Data Science, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Science (M.Sc),Botany,2022,N/A,N/A,N/A,N/A
,2,2,0,0,"MS-Excel, Arduino, Data Analytics, Database Management System (DBMS), Embedded Systems, Machine Learning, Python, SQL, Statistics, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Electronics and Communication,2021,N/A,N/A,N/A,N/A
,2,2,0,0,"MS-Excel, Data Analytics, Figma, Machine Learning, MongoDB, MySQL, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Information Technology,2023,N/A,N/A,N/A,N/A
,0,0,0,0,"Database Testing, English Proficiency (Spoken), MS-Office, SQL, MS-Word","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Engineering,2018,N/A,6.00/7,6.00/6.00,8.00/8.00
,1,0,0,0,"C++ Programming, CSS, Data Science, Java, Python, Salesforce","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science & Engineering,2024,8.30/9,N/A,N/A,N/A
,2,1,0,1,"CSS, HTML, C Programming, JavaScript, MATLAB, Python, Deep Learning, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Artificial Intelligence,2024,N/A,N/A,N/A,N/A
,2,0,0,0,"C Programming, CSS, Chemistry, English Proficiency (Written), HTML, Time Management, English Proficiency (Spoken), MS-Office, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2026,N/A,N/A,N/A,N/A
,2,2,0,2,"Deep Learning, Java, Machine Learning, Photography, Python, SQL, Video Editing","Yes, I am available for 3 months starting immediately for a full-time internship.",BE,Computer Science & Engineering,2024,N/A,N/A,N/A,N/A
,2,0,0,0,"MS-PowerPoint, C Programming, CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, JavaScript, MS-Excel, MS-Word, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science,2023,N/A,8.48/10,62.50/62.50,84.00/84.00
,2,1,1,0,"English Proficiency (Written), MS-Excel, Data Analytics, English Proficiency (Spoken), Power BI, Python, SQL, Tableau, Java, JavaScript, Machine Learning, Natural Language Processing (NLP), Neural Networks, REST API","Yes, I am available for 3 months starting immediately for a full-time internship.",Post Graduate Diploma in Management (P.G.D.M.),Business Analytics,2023,7.51/10,7.00/10,74.10/74.10,8.80/8.80
,2,1,0,0,"MS-Excel, Power BI, Python, SQL, Tableau, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Commerce (B.Com),,2019,N/A,N/A,N/A,N/A
,2,3,0,2,"Machine Learning, ASP.NET, C Programming, C#.NET, Deep Learning, HTML, MS-Excel, MySQL, Python, Bootstrap, CSS, Tableau, WordPress","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),Information Technology,2020,N/A,N/A,57.60/57.60,N/A
,2,2,0,0,"Java, Machine Learning, MySQL, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2025,N/A,N/A,N/A,N/A
,3,2,0,1,"Python, C Programming, Data Analytics, Django, Java, Machine Learning, SQL, Deep Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,N/A,9.40/9.40,9.70/9.70
,3,3,2,2,"Machine Learning, Python, Artificial Intelligence, C Programming, Data Analytics, Data Science, Data Structures, Deep Learning, Java, Natural Language Processing (NLP), R Programming, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Artificial Intelligence And Machine Learning,2024,7.40/10,N/A,N/A,N/A
,2,3,0,0,"MS-PowerPoint, MS-Word, Machine Learning, BIG DATA ANALYTICS, Canva, Python, C Programming, Hadoop, MongoDB, NoSQL, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Artificial Intelligence And Data Science,2024,N/A,9.04/10,N/A,N/A
,2,2,0,2,"Adobe Photoshop, C Programming, C++ Programming, Data Science, Data Structures, Deep Learning, Git, Java, JavaScript, Machine Learning, MongoDB, Neural Networks, Node.js, Postman, Python, ReactJS, SQL, Adobe Illustrator, DevOps","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Science,2023,N/A,N/A,88.00/88.00,93.00/93.00
,3,3,3,2,"Algorithms, Artificial intelligence, Data Analytics, Data Science, Data Structures, English Proficiency (Spoken), English Proficiency (Written), HTML, Machine Learning, Mathematics, MySQL, Natural Language Processing (NLP), Neural Networks, NoSQL, Python, SQL, Statistics, C Programming, Deep Learning, Java","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science,2024,N/A,N/A,9.88/9.88,10.00/10.00
,2,2,0,1,"Data Analytics, English Proficiency (Written), Machine Learning, Python, Deep Learning, MS-Excel, MySQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2024,N/A,7.50/10,N/A,N/A
,0,0,0,0,"Biology, English Proficiency (Spoken), English Proficiency (Written)","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2023,N/A,N/A,N/A,N/A
,3,2,0,0,"MS-Excel, Python, SQL, Statistics, Django, MATLAB, Machine Learning, Power BI","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Civil Engineering,2021,N/A,N/A,N/A,N/A
,3,0,3,2,"C Programming, CSS, HTML, MS-PowerPoint, MS-Word, Natural Language Processing (NLP), Python, C++ Programming, Deep Learning, Java, JavaScript, MySQL, PHP, Computer Vision","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,8.39/10,N/A,N/A
,2,2,2,2,"Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, SQL, Data Analytics","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science & Engineering,2020,8.07/10,N/A,91.83/91.83,85.60/85.60
,2,0,0,0,"Bootstrap, C Programming, C++ Programming, CSS, HTML, JavaScript, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),,2023,N/A,N/A,N/A,N/A
,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Excel, SQL, Java, Oracle","Yes, I am available for 3 months starting immediately for a full-time internship.",Post Graduate Diploma in Human Resource Management (P.G.D.H.R.M.),,2022,71.00/100,N/A,N/A,N/A
,3,3,3,3,"Artificial Intelligence, Computer Vision, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, ReactJS","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),,2023,N/A,N/A,N/A,N/A
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech (Hons.),,2024,N/A,1.50/7,1.50/1.50,1.50/1.50
,1,2,0,0,"Machine Learning, MySQL, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Integrated B.E & MBA,Electronics and Communication,2017,N/A,8.00/8,N/A,N/A
,2,0,0,0,"Adobe XD, Blockchain, C++ Programming, Catia, Data Science, Java, JavaScript, MySQL, Node.js, Python, R Programming, SolidWorks, Solidity, UI & UX Design, Webflow","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Data Science,2024,N/A,7.60/10,N/A,N/A
,2,2,2,0,"Data Analytics, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, SQL, Machine Learning, Natural Language Processing (NLP), Power BI, Python, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",Post Graduate Programme (PGP),Data Analytics,2023,86.70/100,N/A,N/A,N/A
,2,1,2,0,"MS-Excel, Natural Language Processing (NLP), Python, SQL, Selenium, Tableau, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,computer science,2018,N/A,62.00/100,N/A,N/A
,2,2,2,2,"MS-Excel, MS-Office, Arduino, C Programming, CSS, Deep Learning, HTML, Internet of Things (IoT), Java, MATLAB, Machine Learning, Natural Language Processing (NLP), Python, JavaScript, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics and Communication,2023,N/A,8.76/10,95.00/95.00,9.70/9.70
,2,2,1,2,"Mathematics, Statistics, Deep Learning, Machine Learning, Python, Natural Language Processing (NLP), SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",M.Sc,IT(Data Science),2024,7.30/100,N/A,81.00/81.00,83.00/83.00
,2,1,0,0,"Python, HTML, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2025,N/A,N/A,N/A,N/A
,1,2,0,1,"CSS, HTML, JavaScript, Machine Learning, Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Python, ReactJS","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Information Technology,2024,8.00/8,N/A,64.00/64.00,87.40/87.40
,3,3,3,3,"Deep Learning, Flask, Hadoop, JavaScript, Machine Learning, Natural Language Processing (NLP), Node.js, Power BI, Python, R Programming, REST API, ReactJS, SQL, Statistical Modeling, Statistics, Tableau, BIG DATA ANALYTICS, English Proficiency (Spoken), English Proficiency (Written), HTML, Linux, MS-Excel, MS-Office, MS-Word, Amazon Web Server (AWS), MS-PowerPoint","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Science (M.Sc),Economics,2023,8.16/10,8.10/10,82.20/82.20,84.40/84.40
,1,0,0,0,"MySQL, PostgreSQL, Raspberry Pi, C Programming, Internet of Things (IoT), Java, Python","No, I'm available after July since i have exams in 15 days .",B.Tech,Electronics and Communication,2024,N/A,N/A,N/A,N/A
,3,3,0,0,"Artificial Intelligence, Java, Machine Learning, MySQL, Python, .NET, Amazon Web Server (AWS), C Programming, C++ Programming, CSS, Cloud Computing, Data Structures, HTML, JavaScript, MS-Excel, MS-Word, React Native, Software Testing, Blockchain, C#","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),COMPUTER,2023,86.00/100,N/A,63.20/63.20,N/A
,1,0,0,0,"C Programming, Data Structures, Database Management System (DBMS), HTML, CSS, Java, JavaScript, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Information Technology,2023,N/A,7.74/10,85.00/85.00,8.80/8.80
,2,2,0,2,"Content Writing, C++ Programming, CSS, Data Science, Deep Learning, HTML, Machine Learning, MongoDB, Python, Canva, Flask, JavaScript","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Metallurgical & Materials Engineering,2025,N/A,7.84/10,92.40/92.40,N/A
,3,3,1,2,"Data Science, Machine Learning, Python, Artificial intelligence, C Programming, Deep Learning, GitHub, MySQL, Natural Language Processing (NLP)","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science & Technology,2024,N/A,8.00/10,N/A,N/A
,2,0,0,0,"Odoo, ERP Implementation and Deployment, Enterprise Resource Planning(ERP), Python, SQL, WordPress","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),computer science,2019,N/A,6.39/10,72.00/72.00,5.80/5.80
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",High School Student. I Want An Internship,,2023,N/A,N/A,N/A,N/A
,1,0,0,0,"MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Adobe Photoshop Lightroom CC, C Programming, CSS, Content Writing, English Proficiency (Spoken), English Proficiency (Written), HTML, Java, Social Media Marketing, Video Editing, Video Making, Blockchain, Ethereum, JavaScript, Python, Solidity, WordPress","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2026,N/A,N/A,N/A,N/A
,3,1,0,0,"Python, C++ Programming, Data Analytics, HTML, Java, MS-Excel, SQL, Data Science, JavaScript, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,8.20/10,N/A,N/A
,2,0,0,0,"Robotics, Arduino, Image Processing, Python, Sketch, Database Management System (DBMS), Internet of Things (IoT), R Programming","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,N/A,N/A,N/A
,2,2,0,0,"Data Analytics, C++ Programming, CSS, English Proficiency (Written), HTML, Machine Learning, Python, C Programming","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science,2023,N/A,76.00/100,7.60/7.60,7.80/7.80
,2,2,0,2,"Figma, AutoCAD, Data Science, Deep Learning, Machine Learning, Python, SQL, Tableau, MATLAB","Yes, I am available for 3 months starting immediately for a full-time internship.",Integrated B.Tech & M.Sc,Economics,2025,N/A,7.53/10,9.62/9.62,N/A
,2,2,2,2,"American English, English Proficiency (Spoken), English Proficiency (Written), VS Code, Algorithms, C Programming, Data Analytics, Data Science, Data Structures, Deep Learning, Git, Git Bash, GitHub, Java, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python, C++ Programming","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2024,N/A,7.86/10,88.67/88.67,93.67/93.67
,0,0,0,0,MS-Office,"Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Electronics and Communication,2026,N/A,N/A,N/A,N/A
,0,0,0,0,"AutoCAD, Catia, MS-Office","Yes, I am available for 3 months starting immediately for a full-time internship.",Advanced Certification In Data Science,Business Development,2023,7.00/10,7.02/10,63.33/63.33,85.45/85.45
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",Diploma In Pharmacy,,2016,N/A,N/A,N/A,N/A
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",M.Sc (Information Technology),Information Technology,2023,N/A,N/A,N/A,N/A
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",PG Diploma in Data Science,Information Technology,2023,N/A,N/A,N/A,N/A
,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Neural Networks, C++ Programming, Computer Vision, Data Analytics, Data Science, Data Structures, Deep Learning, Flutter, Machine Learning, Natural Language Processing (NLP), OpenCV, Python, SQL, Statistics, Git Bash, Git SVN, Power BI","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics and Communication,2025,N/A,N/A,93.80/93.80,91.20/91.20
,0,2,2,2,"Blender 3D, C#, Deep Learning, MEAN/MERN Stack, Machine Learning, Natural Language Processing (NLP), Unity Engine","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Electronics and Communication,2023,N/A,N/A,86.80/86.80,10.00/10.00
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",MBA,Business Analytics,2024,N/A,54.38/100,60.40/60.40,70.80/70.80
,2,2,0,2,"C++ Programming, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Python, SQL, Django, Node.js","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2024,N/A,N/A,N/A,N/A
,0,0,0,0,"Bootstrap, CSS, HTML, JavaScript, ReactJS, WordPress","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science,2024,N/A,N/A,N/A,N/A
,3,2,0,0,"Git, GitHub, Python, Bootstrap, CSS, HTML, JavaScript, Machine Learning, ReactJS, Artificial Intelligence","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2025,N/A,8.16/10,95.00/95.00,96.20/96.20
,3,3,3,2,"Data Science, Machine Learning, Natural Language Processing (NLP), Python, Data Analytics, Deep Learning, Neural Networks, Power BI, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bsc,cs,2019,N/A,N/A,N/A,N/A
,3,2,2,2,"Python, Data Analytics, Data Science, Deep Learning, Git, Java, MS-Excel, Machine Learning, Natural Language Processing (NLP), SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Information Technology,2025,N/A,N/A,84.00/84.00,N/A
,2,2,0,2,"English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Marathi Proficiency(Spoken), Marathi Proficiency(Written), VS Code, BIG DATA ANALYTICS, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, English Proficiency (Spoken), MS-Excel, Machine Learning, Power BI, Python, SQL, Statistics, Django, Flask","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),B.E. Computer,2023,N/A,N/A,N/A,N/A
,3,2,2,2,"Data Analytics, MS-Excel, Python, SQL, Data Science, Deep Learning, Git, Machine Learning, Natural Language Processing (NLP), R Programming","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,computer science,2014,N/A,N/A,N/A,N/A
,2,2,0,0,"MySQL, Java, Machine Learning, Manual Testing, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Technology (M.Tech),Computer Science & Engineering,2021,7.70/10,N/A,N/A,N/A
,3,3,0,0,"Data Science, Django, Image Processing, Machine Learning, Python, SQL, Unity 3D, Arduino, C Programming, Java, PostgreSQL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science,2023,N/A,8.59/10,N/A,N/A
,2,1,0,0,"C++ Programming, Data Structures, MS-PowerPoint, MySQL, Python, Artificial Intelligence, Data Science, MS-Excel, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Computer Science,2025,N/A,7.58/10,78.60/78.60,87.40/87.40
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2021,N/A,N/A,N/A,N/A
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Mechanical,2022,N/A,N/A,N/A,N/A
,2,2,0,2,"Data Analytics, Data Science, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), FastAPI, Hadoop, MS-Excel, Machine Learning, MySQL, Python, SQL, Statistics, REST API, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Data Science,2024,N/A,7.85/10,72.00/72.00,77.00/77.00
,2,0,0,0,"Java, Data Science, Python, web3.js, Data Analytics","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Technology (M.Tech),Computer Science & Engineering,2024,N/A,N/A,N/A,N/A
,0,0,0,0,"Java, Computer Networks, Linux","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Computer Engineering,,2023,N/A,N/A,N/A,N/A
,0,0,0,0,"C++ Programming, MS-Excel","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2023,N/A,N/A,N/A,N/A
,2,1,0,0,"Java, Python, SQL, Artificial Intelligence, Machine Learning","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Computer Applications (BCA),,2023,N/A,N/A,N/A,N/A
,2,2,0,0,"MS-Word, Statistics, Data Science, MS-Excel, MS-PowerPoint, Machine Learning, Python, R Programming, Power BI","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Science (M.S.),Statistics,2023,7.52/10,83.73/100,63.23/63.23,91.20/91.20
,2,2,1,1,"C++ Programming, Data Science, Machine Learning, Python, R Programming, Artificial Intelligence, Deep Learning, Natural Language Processing (NLP)","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Mathematics and Computing,2024,N/A,N/A,93.40/93.40,9.60/9.60
,2,0,0,0,"AutoCAD, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,,2023,N/A,9.00/10,8.52/8.52,7.63/7.63
,3,2,0,0,"Image Processing, Python, Artificial intelligence, Computer Vision, Data Science, Google Cloud Computing, Machine Learning, Robotic Process Automation (RPA)","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science & Engineering,2019,N/A,6.79/7,66.60/66.60,N/A
,0,0,0,0,"Blockchain, Ethereum, HTML, JavaScript, Node.js","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Electronics and Instrumentation ,2018,N/A,N/A,N/A,N/A
,2,0,0,0,"Computer Networking, LabVIEW, R Programming, Artificial Intelligence, BIG DATA ANALYTICS, C#, C++ Programming, Java, Python, SAP","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Artificial Intelligence,Computer Science,2024,N/A,N/A,N/A,N/A
,1,2,0,0,"C++ Programming, CSS, Data Structures, HTML, Java, Machine Learning, C Programming, JavaScript, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Information Technology,2023,N/A,8.40/10,92.60/92.60,95.00/95.00
,3,3,2,2,"Computer Vision, Data Science, English Proficiency (Spoken), English Proficiency (Written), HTML, Linux, MS-Excel, Machine Learning, MySQL, Neural Networks, Power BI, Python, SQL, Tableau, Amazon Web Services (AWS), CSS, Data Analytics, Data Structures, Deep Learning, GitHub, Google Cloud Computing, Natural Language Processing (NLP), Cloud Computing","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),Artificial Intelligence,2023,N/A,7.30/10,9.40/9.40,9.30/9.30
,0,0,0,0,"Angular 7.0, CSS, HTML, JavaScript, TypeScript, Flutter","Yes, I am available for 3 months starting immediately for a full-time internship.",Master of Computer Applications (MCA),Computer Science And Technology,2021,N/A,7.64/9,N/A,N/A
,3,3,0,2,"English Proficiency (Spoken), Machine Learning, Python, C Programming, C++ Programming, Deep Learning, Django, JavaScript, MS-Excel, MySQL, BIG DATA ANALYTICS","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Information Technology,2024,N/A,8.23/10,N/A,N/A
,2,2,2,2,"C Programming, CSS, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, HTML, Machine Learning, MongoDB, Natural Language Processing (NLP), Python, SQL, C++ Programming","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),Data Science,2024,8.28/10,N/A,69.85/69.85,67.40/67.40
,1,1,1,0,"Amazon Web Services (AWS), Machine Learning, MySQL, Natural Language Processing (NLP), Power BI, Python","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Technology (B.Tech),E&TC,2024,N/A,8.30/9,N/A,N/A
,0,0,0,0,"MS-Excel, MS-Office, MS-PowerPoint, ARM Microcontroller, Analog And Digital Circuits, Embedded Systems, MATLAB, PCB Design, PCB Soldering, VHDL","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Science (B.Sc),Electronic Science,2022,N/A,8.82/10,N/A,N/A
,3,2,0,0,"Algorithms, Data Structures, Neural Networks, Python, Machine Learning, CSS, Django, HTML, ReactJS","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2023,N/A,8.18/10,N/A,N/A
,3,3,2,3,"Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Flask, GitHub, MS-Excel, MS-Office, MS-PowerPoint, MS-Word, Machine Learning, Mathematics, Python, Tableau, Teaching, CSS, Data Analytics, Data Science, Django, HTML, Natural Language Processing (NLP), Power BI, R Programming, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",,Information Technology,2022,N/A,85.50/100,N/A,N/A
,3,0,2,0,"C Programming, CSS, Canva, Creative Writing, Data Science, Eclipse (IDE), English Proficiency (Spoken), English Proficiency (Written), Express.js, HTML, Java, JavaScript, MS-Excel, MS-Word, MongoDB, Node.js, Python, SQL, Statistics, UI & UX Design, UiPath, Blogging, C++ Programming, Linear Programming, Natural Language Processing (NLP), Neural Networks, PHP, ReactJS, WordPress","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),Computer Science & Engineering,2024,9.22/10,N/A,93.40/93.40,92.70/92.70
,3,0,0,3,"C++ Programming, CCNA, CSS, Deep Learning, Flutter, HTML, JSON, Java, Jira, MS-Excel, Manual Testing, MySQL, PHP, Postman, Python, R Programming, SQL, Selenium, Software Testing, DevOps, JavaScript, Jenkins, REST API","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Computer Science (B.C.S.),,2023,N/A,N/A,N/A,N/A
,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), C Programming, C++ Programming, Data Structures, Spanish Proficiency(Spoken), Spanish Proficiency(Written)","Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Computer Applications (BCA),Computer Application,2025,N/A,N/A,8.60/8.60,8.40/8.40
,0,0,0,0,,"Yes, I am available for 3 months starting immediately for a full-time internship.",Bachelor of Engineering (B.E),,2025,N/A,N/A,N/A,N/A
,2,2,0,0,"English Proficiency (Written), MS-Excel, Machine Learning, Python, SQL, Tableau","Yes, I am available for 3 months starting immediately for a full-time internship.",,Business Analytics,2022,N/A,3.21/5,N/A,N/A
,2,2,1,0,"Canva, Data Science, Data Structures, English Proficiency (Written), Flask, Java, MS-PowerPoint, Machine Learning, Python, Statistics, MS-Excel, Natural Language Processing (NLP), SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Chemical Engineering,2025,N/A,8.31/10,94.00/94.00,95.00/95.00
,1,1,0,1,"English Proficiency (Spoken), Mathematics, Statistics, Deep Learning, Machine Learning, Neural Networks, OpenCV, Python, SQL","Yes, I am available for 3 months starting immediately for a full-time internship.",B.Tech,Computer Science & Engineering,2023,7.87/10,N/A,9.92/9.92,9.50/9.50
